condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_alpha_-5,exp3_reasoning_em,contains_em,0.015,400,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-5,format_compliance_v2,compliance_rate,0.15934065934065933,364,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-5,mmlu_forced_choice,accuracy,0.4666666666666667,600,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-5,structural_token_ratio,ratio,0.03494154063645055,2800,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0,exp3_alignment_behavior,behavior_match,0.5466666666666666,300,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0,exp3_reasoning_em,contains_em,0.52,400,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0,format_compliance_v2,compliance_rate,0.34065934065934067,364,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,600,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0,structural_token_ratio,ratio,0.053812388560694265,2800,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.25,exp3_alignment_behavior,behavior_match,0.5666666666666667,300,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.25,exp3_reasoning_em,contains_em,0.515,400,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.25,format_compliance_v2,compliance_rate,0.4065934065934066,364,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.25,mmlu_forced_choice,accuracy,0.49666666666666665,600,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.25,structural_token_ratio,ratio,0.052907757066350515,2800,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.5,exp3_reasoning_em,contains_em,0.555,400,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.5,format_compliance_v2,compliance_rate,0.46153846153846156,364,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.5,mmlu_forced_choice,accuracy,0.52,600,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.5,structural_token_ratio,ratio,0.05233563487820969,2800,A1,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.75,exp3_alignment_behavior,behavior_match,0.5666666666666667,300,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.75,exp3_reasoning_em,contains_em,0.535,400,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.75,format_compliance_v2,compliance_rate,0.46703296703296704,364,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.75,mmlu_forced_choice,accuracy,0.5133333333333333,600,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_0.75,structural_token_ratio,ratio,0.0501071733143612,2800,A1,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1,exp3_alignment_behavior,behavior_match,0.58,300,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1,exp3_reasoning_em,contains_em,0.53,400,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1,structural_token_ratio,ratio,0.04936480542251297,2800,A1,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1.5,exp3_alignment_behavior,behavior_match,0.5666666666666667,300,A1,directional_remove,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1.5,exp3_reasoning_em,contains_em,0.525,400,A1,directional_remove,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1.5,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1,directional_remove,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1.5,mmlu_forced_choice,accuracy,0.49666666666666665,600,A1,directional_remove,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_1.5,structural_token_ratio,ratio,0.04858536559001067,2800,A1,directional_remove,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_2,exp3_alignment_behavior,behavior_match,0.6933333333333334,300,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_2,exp3_reasoning_em,contains_em,0.505,400,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_2,format_compliance_v2,compliance_rate,0.4340659340659341,364,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_2,mmlu_forced_choice,accuracy,0.5033333333333333,600,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_2,structural_token_ratio,ratio,0.047583712511020726,1400,A1,directional_remove,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_3,exp3_alignment_behavior,behavior_match,0.82,300,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_3,exp3_reasoning_em,contains_em,0.125,400,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_3,format_compliance_v2,compliance_rate,0.4065934065934066,364,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_3,mmlu_forced_choice,accuracy,0.48333333333333334,600,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_3,structural_token_ratio,ratio,0.15428123395593454,1400,A1,directional_remove,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_5,exp3_alignment_behavior,behavior_match,0.9333333333333333,300,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_5,exp3_reasoning_em,contains_em,0.005,400,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_5,format_compliance_v2,compliance_rate,0.3390804597701149,348,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_5,mmlu_forced_choice,accuracy,0.44,600,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_5,structural_token_ratio,ratio,0.548492989092836,1400,A1,directional_remove,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_baseline,exp3_alignment_behavior,behavior_match,0.58,300,A1,none,1.0,0.0,[]
A1_baseline,exp3_reasoning_em,contains_em,0.53,400,A1,none,1.0,0.0,[]
A1_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1,none,1.0,0.0,[]
A1_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1,none,1.0,0.0,[]
A1_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A1,none,1.0,0.0,[]
A1_ctrl_random_b0,exp3_alignment_behavior,behavior_match,0.58,300,A1,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b0,exp3_reasoning_em,contains_em,0.53,400,A1,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b0,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b0,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b0,structural_token_ratio,ratio,0.04936480542251297,2800,A1,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b1,exp3_alignment_behavior,behavior_match,0.7866666666666666,300,A1,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b1,exp3_reasoning_em,contains_em,0.095,400,A1,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b1,format_compliance_v2,compliance_rate,0.35714285714285715,364,A1,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b1,mmlu_forced_choice,accuracy,0.4533333333333333,600,A1,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b1,structural_token_ratio,ratio,0.043880941500416756,2800,A1,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b3,exp3_alignment_behavior,behavior_match,0.6866666666666666,300,A1,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b3,exp3_reasoning_em,contains_em,0.0,400,A1,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b3,format_compliance_v2,compliance_rate,0.3488372093023256,344,A1,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b3,mmlu_forced_choice,accuracy,0.11,600,A1,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_ctrl_random_b3,structural_token_ratio,ratio,0.06781252319109461,2800,A1,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
