condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B2b_method12_top100_b-3,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method3_it_amplified_top100_b-0.5,structural_token_ratio,ratio,0.05552142394984319,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0.5,mmlu_accuracy,accuracy,0.5133333333333333,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0.5,exp3_reasoning_em,contains_em,0.53,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-3,structural_token_ratio,ratio,0.011420205813610576,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-3,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-3,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2_baseline,format_compliance,compliance,0.6527777777777778,72,B2,none,,,,,,
B2b_method12_top100_b-1,format_compliance,compliance,0.4305555555555556,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-5,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1,format_compliance,compliance,0.4305555555555556,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-5,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0,format_compliance,compliance,0.6527777777777778,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-1.5,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0,format_compliance,compliance,0.6527777777777778,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1.5,format_compliance,compliance,0.3611111111111111,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.25,format_compliance,compliance,0.6388888888888888,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-2,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.25,format_compliance,compliance,0.6388888888888888,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-2,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.5,format_compliance,compliance,0.6111111111111112,72,B2,wdec_inject,,,,,,
B2b_method12_top100_b-3,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.5,format_compliance,compliance,0.6111111111111112,72,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-3,format_compliance,compliance,0.3472222222222222,72,B2,wdec_inject,,,,,,
B2_baseline,exp3_alignment_behavior,behavior_match,0.59,100,B2,none,,,,,,
B2b_method12_top100_b-1,exp3_alignment_behavior,behavior_match,0.73,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1,exp3_alignment_behavior,behavior_match,0.73,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0,exp3_alignment_behavior,behavior_match,0.59,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-1.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0,exp3_alignment_behavior,behavior_match,0.59,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1.5,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.25,exp3_alignment_behavior,behavior_match,0.64,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-2,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.25,exp3_alignment_behavior,behavior_match,0.64,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-2,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.5,exp3_alignment_behavior,behavior_match,0.87,100,B2,wdec_inject,,,,,,
B2b_method12_top100_b-3,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.5,exp3_alignment_behavior,behavior_match,0.87,100,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-3,exp3_alignment_behavior,behavior_match,0.5,100,B2,wdec_inject,,,,,,
B2_baseline,coherent_assistant_rate,rate,0.9111338100102145,979,B2,none,,,,,,
B2b_method12_top100_b-1,coherent_assistant_rate,rate,0.2900919305413687,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1,coherent_assistant_rate,rate,0.2900919305413687,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-5,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0,coherent_assistant_rate,rate,0.9111338100102145,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-1.5,coherent_assistant_rate,rate,0.04187946884576098,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0,coherent_assistant_rate,rate,0.9111338100102145,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-1.5,coherent_assistant_rate,rate,0.04187946884576098,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.25,coherent_assistant_rate,rate,0.9305413687436159,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-2,coherent_assistant_rate,rate,0.005107252298263534,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.25,coherent_assistant_rate,rate,0.9305413687436159,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-2,coherent_assistant_rate,rate,0.005107252298263534,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-0.5,coherent_assistant_rate,rate,0.8998978549540347,979,B2,wdec_inject,,,,,,
B2b_method12_top100_b-3,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-0.5,coherent_assistant_rate,rate,0.8998978549540347,979,B2,wdec_inject,,,,,,
B2b_method3_it_amplified_top100_b-3,coherent_assistant_rate,rate,0.0,979,B2,wdec_inject,,,,,,
