condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B3_method12_content_top100_g5,format_compliance,compliance,0.625,72,B3,feature_clamp,,,,,,
B3_random_100_g5,format_compliance,compliance,0.5833333333333334,72,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g0,format_compliance,compliance,0.5555555555555556,72,B3,feature_clamp,,,,,,
B3_method12_content_top100_g0,format_compliance,compliance,0.6111111111111112,72,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g1,format_compliance,compliance,0.5694444444444444,72,B3,feature_clamp,,,,,,
B3_random_100_g0,exp3_alignment_behavior,behavior_match,0.65,100,B3,feature_clamp,,,,,,
B3_method12_content_top100_g1,exp3_alignment_behavior,behavior_match,0.6,100,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g5,exp3_alignment_behavior,behavior_match,0.76,100,B3,feature_clamp,,,,,,
B3_random_100_g1,exp3_alignment_behavior,behavior_match,0.6,100,B3,feature_clamp,,,,,,
B3_method12_content_top100_g5,exp3_alignment_behavior,behavior_match,0.61,100,B3,feature_clamp,,,,,,
B3_random_100_g5,exp3_alignment_behavior,behavior_match,0.6,100,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g0,exp3_alignment_behavior,behavior_match,0.62,100,B3,feature_clamp,,,,,,
B3_method12_content_top100_g0,exp3_alignment_behavior,behavior_match,0.57,100,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g1,exp3_alignment_behavior,behavior_match,0.6,100,B3,feature_clamp,,,,,,
B3_random_100_g0,coherent_assistant_rate,rate,0.8937691521961185,979,B3,feature_clamp,,,,,,
B3_method12_content_top100_g1,coherent_assistant_rate,rate,0.9172625127681308,979,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g5,coherent_assistant_rate,rate,0.8764044943820225,979,B3,feature_clamp,,,,,,
B3_random_100_g1,coherent_assistant_rate,rate,0.9050051072522982,979,B3,feature_clamp,,,,,,
B3_method12_content_top100_g5,coherent_assistant_rate,rate,0.9080694586312564,979,B3,feature_clamp,,,,,,
B3_random_100_g5,coherent_assistant_rate,rate,0.8937691521961185,979,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g0,coherent_assistant_rate,rate,0.8784473953013279,979,B3,feature_clamp,,,,,,
B3_method12_content_top100_g0,coherent_assistant_rate,rate,0.9019407558733401,979,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g1,coherent_assistant_rate,rate,0.8784473953013279,979,B3,feature_clamp,,,,,,
