condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B1_method3_it_amplified_top100_g2,mmlu_accuracy,accuracy,0.5,150,B1,feature_clamp,2.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g2,exp3_reasoning_em,contains_em,0.33,100,B1,feature_clamp,2.0,method3_it_amplified_top100,all,,,
B1_method12_top10_g0,structural_token_ratio,ratio,0.05180505734307184,979,B1,feature_clamp,0.0,method12_top10,all,,,
B1_method12_top10_g0,mmlu_accuracy,accuracy,0.5133333333333333,150,B1,feature_clamp,0.0,method12_top10,all,,,
B1_method12_top10_g0,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.0,method12_top10,all,,,
B1_method12_top50_g0.25,structural_token_ratio,ratio,0.050902870831496846,979,B1,feature_clamp,0.25,method12_top50,all,,,
B1_method12_top50_g0.25,mmlu_accuracy,accuracy,0.5333333333333333,150,B1,feature_clamp,0.25,method12_top50,all,,,
B1_method12_top50_g0.25,exp3_reasoning_em,contains_em,0.36,100,B1,feature_clamp,0.25,method12_top50,all,,,
B1_method12_top10_g0,reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.0,method12_top10,all,,,
B1_method12_top10_g0,alignment_behavior,behavior_match,0.13,100,B1,feature_clamp,0.0,method12_top10,all,,,
B1_method12_top50_g0.25,reasoning_em,contains_em,0.36,100,B1,feature_clamp,0.25,method12_top50,all,,,
B1_method12_top50_g0.25,alignment_behavior,behavior_match,0.16,100,B1,feature_clamp,0.25,method12_top50,all,,,
B1_method12_top100_g0.5,structural_token_ratio,ratio,0.05079959196444945,979,B1,feature_clamp,0.5,method12_top100,all,,,
B1_method12_top100_g0.5,mmlu_accuracy,accuracy,0.46,150,B1,feature_clamp,0.5,method12_top100,all,,,
B1_method12_top100_g0.5,exp3_reasoning_em,contains_em,0.34,100,B1,feature_clamp,0.5,method12_top100,all,,,
B1_method12_top500_g1,structural_token_ratio,ratio,0.05617141037997416,979,B1,feature_clamp,1.0,method12_top500,all,,,
B1_method12_top500_g1,mmlu_accuracy,accuracy,0.5066666666666667,150,B1,feature_clamp,1.0,method12_top500,all,,,
B1_method12_top500_g1,exp3_reasoning_em,contains_em,0.27,100,B1,feature_clamp,1.0,method12_top500,all,,,
B1_method12_all_g2,structural_token_ratio,ratio,0.04708694649155587,979,B1,feature_clamp,2.0,method12_all,all,,,
B1_method12_all_g2,mmlu_accuracy,accuracy,0.36,150,B1,feature_clamp,2.0,method12_all,all,,,
B1_method12_all_g2,exp3_reasoning_em,contains_em,0.17,100,B1,feature_clamp,2.0,method12_all,all,,,
B1_method3_it_amplified_top100_g5,structural_token_ratio,ratio,0.05149790579662342,979,B1,feature_clamp,5.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g5,mmlu_accuracy,accuracy,0.4666666666666667,150,B1,feature_clamp,5.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g5,exp3_reasoning_em,contains_em,0.29,100,B1,feature_clamp,5.0,method3_it_amplified_top100,all,,,
B1_method12_top10_g0.25,structural_token_ratio,ratio,0.050643619379229135,979,B1,feature_clamp,0.25,method12_top10,all,,,
B1_method12_top10_g0.25,mmlu_accuracy,accuracy,0.5133333333333333,150,B1,feature_clamp,0.25,method12_top10,all,,,
B1_method12_top10_g0.25,exp3_reasoning_em,contains_em,0.33,100,B1,feature_clamp,0.25,method12_top10,all,,,
B1_method12_top50_g0.5,structural_token_ratio,ratio,0.05272107438352271,979,B1,feature_clamp,0.5,method12_top50,all,,,
B1_method12_top50_g0.5,mmlu_accuracy,accuracy,0.54,150,B1,feature_clamp,0.5,method12_top50,all,,,
B1_method12_top50_g0.5,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.5,method12_top50,all,,,
B1_method12_top10_g0.25,reasoning_em,contains_em,0.33,100,B1,feature_clamp,0.25,method12_top10,all,,,
B1_method12_top10_g0.25,alignment_behavior,behavior_match,0.11,100,B1,feature_clamp,0.25,method12_top10,all,,,
B1_method12_top50_g0.5,reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.5,method12_top50,all,,,
B1_method12_top50_g0.5,alignment_behavior,behavior_match,0.19,100,B1,feature_clamp,0.5,method12_top50,all,,,
B1_method12_top100_g1,structural_token_ratio,ratio,0.05481557879936084,979,B1,feature_clamp,1.0,method12_top100,all,,,
B1_method12_top100_g1,mmlu_accuracy,accuracy,0.47333333333333333,150,B1,feature_clamp,1.0,method12_top100,all,,,
B1_method12_top100_g1,exp3_reasoning_em,contains_em,0.38,100,B1,feature_clamp,1.0,method12_top100,all,,,
B1_method12_top500_g2,structural_token_ratio,ratio,0.05509142858674131,979,B1,feature_clamp,2.0,method12_top500,all,,,
B1_method12_top500_g2,mmlu_accuracy,accuracy,0.44666666666666666,150,B1,feature_clamp,2.0,method12_top500,all,,,
B1_method12_top500_g2,exp3_reasoning_em,contains_em,0.28,100,B1,feature_clamp,2.0,method12_top500,all,,,
B1_method12_all_g5,structural_token_ratio,ratio,6.415465411524122e-05,979,B1,feature_clamp,5.0,method12_all,all,,,
B1_method12_all_g5,mmlu_accuracy,accuracy,0.006666666666666667,150,B1,feature_clamp,5.0,method12_all,all,,,
B1_method12_all_g5,exp3_reasoning_em,contains_em,0.0,100,B1,feature_clamp,5.0,method12_all,all,,,
B1_method3_it_amplified_top100_g10,structural_token_ratio,ratio,0.024102505761290156,979,B1,feature_clamp,10.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g10,mmlu_accuracy,accuracy,0.37333333333333335,150,B1,feature_clamp,10.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g10,exp3_reasoning_em,contains_em,0.17,100,B1,feature_clamp,10.0,method3_it_amplified_top100,all,,,
B1_method12_top10_g0.5,structural_token_ratio,ratio,0.04990303975216536,979,B1,feature_clamp,0.5,method12_top10,all,,,
B1_method12_top10_g0.5,mmlu_accuracy,accuracy,0.49333333333333335,150,B1,feature_clamp,0.5,method12_top10,all,,,
B1_method12_top10_g0.5,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.5,method12_top10,all,,,
B1_method12_top50_g1,structural_token_ratio,ratio,0.05172988116812722,979,B1,feature_clamp,1.0,method12_top50,all,,,
B1_method12_top50_g1,mmlu_accuracy,accuracy,0.5533333333333333,150,B1,feature_clamp,1.0,method12_top50,all,,,
B1_method12_top50_g1,exp3_reasoning_em,contains_em,0.35,100,B1,feature_clamp,1.0,method12_top50,all,,,
B1_method12_top10_g0.5,reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.5,method12_top10,all,,,
B1_method12_top10_g0.5,alignment_behavior,behavior_match,0.12,100,B1,feature_clamp,0.5,method12_top10,all,,,
B1_method12_top50_g1,reasoning_em,contains_em,0.35,100,B1,feature_clamp,1.0,method12_top50,all,,,
B1_method12_top50_g1,alignment_behavior,behavior_match,0.22,100,B1,feature_clamp,1.0,method12_top50,all,,,
B1_method12_top100_g2,structural_token_ratio,ratio,0.05088443648732351,979,B1,feature_clamp,2.0,method12_top100,all,,,
B1_method12_top100_g2,mmlu_accuracy,accuracy,0.4666666666666667,150,B1,feature_clamp,2.0,method12_top100,all,,,
B1_method12_top100_g2,exp3_reasoning_em,contains_em,0.29,100,B1,feature_clamp,2.0,method12_top100,all,,,
B1_method12_top500_g5,structural_token_ratio,ratio,0.0005461853488127775,979,B1,feature_clamp,5.0,method12_top500,all,,,
B1_method12_top500_g5,mmlu_accuracy,accuracy,0.013333333333333334,150,B1,feature_clamp,5.0,method12_top500,all,,,
B1_method12_top500_g5,exp3_reasoning_em,contains_em,0.0,100,B1,feature_clamp,5.0,method12_top500,all,,,
B1_method12_all_g10,structural_token_ratio,ratio,0.0,979,B1,feature_clamp,10.0,method12_all,all,,,
B1_method12_all_g10,mmlu_accuracy,accuracy,0.0,150,B1,feature_clamp,10.0,method12_all,all,,,
B1_method12_all_g10,exp3_reasoning_em,contains_em,0.0,100,B1,feature_clamp,10.0,method12_all,all,,,
B1_method12_top10_g1,structural_token_ratio,ratio,0.05523986622995859,979,B1,feature_clamp,1.0,method12_top10,all,,,
B1_method12_top10_g1,mmlu_accuracy,accuracy,0.5,150,B1,feature_clamp,1.0,method12_top10,all,,,
B1_method12_top10_g1,exp3_reasoning_em,contains_em,0.38,100,B1,feature_clamp,1.0,method12_top10,all,,,
B1_method12_top50_g2,structural_token_ratio,ratio,0.054168322919773165,979,B1,feature_clamp,2.0,method12_top50,all,,,
B1_method12_top50_g2,mmlu_accuracy,accuracy,0.54,150,B1,feature_clamp,2.0,method12_top50,all,,,
B1_method12_top50_g2,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,2.0,method12_top50,all,,,
B1_method12_top10_g1,reasoning_em,contains_em,0.38,100,B1,feature_clamp,1.0,method12_top10,all,,,
B1_method12_top10_g1,alignment_behavior,behavior_match,0.11,100,B1,feature_clamp,1.0,method12_top10,all,,,
B1_method12_top50_g2,reasoning_em,contains_em,0.32,100,B1,feature_clamp,2.0,method12_top50,all,,,
B1_method12_top50_g2,alignment_behavior,behavior_match,0.19,100,B1,feature_clamp,2.0,method12_top50,all,,,
B1_method12_top100_g5,structural_token_ratio,ratio,0.017954824969483116,979,B1,feature_clamp,5.0,method12_top100,all,,,
B1_method12_top100_g5,mmlu_accuracy,accuracy,0.36666666666666664,150,B1,feature_clamp,5.0,method12_top100,all,,,
B1_method12_top100_g5,exp3_reasoning_em,contains_em,0.1,100,B1,feature_clamp,5.0,method12_top100,all,,,
B1_method12_top500_g10,structural_token_ratio,ratio,0.0,979,B1,feature_clamp,10.0,method12_top500,all,,,
B1_method12_top500_g10,mmlu_accuracy,accuracy,0.0,150,B1,feature_clamp,10.0,method12_top500,all,,,
B1_method12_top500_g10,exp3_reasoning_em,contains_em,0.0,100,B1,feature_clamp,10.0,method12_top500,all,,,
B1_method3_it_amplified_top100_g0,structural_token_ratio,ratio,0.06008758054999451,979,B1,feature_clamp,0.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0,mmlu_accuracy,accuracy,0.5,150,B1,feature_clamp,0.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0,exp3_reasoning_em,contains_em,0.36,100,B1,feature_clamp,0.0,method3_it_amplified_top100,all,,,
B1_method12_top10_g2,structural_token_ratio,ratio,0.04956399576151298,979,B1,feature_clamp,2.0,method12_top10,all,,,
B1_method12_top10_g2,mmlu_accuracy,accuracy,0.5066666666666667,150,B1,feature_clamp,2.0,method12_top10,all,,,
B1_method12_top10_g2,exp3_reasoning_em,contains_em,0.36,100,B1,feature_clamp,2.0,method12_top10,all,,,
B1_method12_top50_g5,structural_token_ratio,ratio,0.03718718637213632,979,B1,feature_clamp,5.0,method12_top50,all,,,
B1_method12_top50_g5,mmlu_accuracy,accuracy,0.47333333333333333,150,B1,feature_clamp,5.0,method12_top50,all,,,
B1_method12_top50_g5,exp3_reasoning_em,contains_em,0.27,100,B1,feature_clamp,5.0,method12_top50,all,,,
B1_method12_top10_g2,reasoning_em,contains_em,0.36,100,B1,feature_clamp,2.0,method12_top10,all,,,
B1_method12_top10_g2,alignment_behavior,behavior_match,0.06,100,B1,feature_clamp,2.0,method12_top10,all,,,
B1_method12_top50_g5,reasoning_em,contains_em,0.27,100,B1,feature_clamp,5.0,method12_top50,all,,,
B1_method12_top50_g5,alignment_behavior,behavior_match,0.4,100,B1,feature_clamp,5.0,method12_top50,all,,,
B1_method12_top100_g10,structural_token_ratio,ratio,5.1072522982635346e-06,979,B1,feature_clamp,10.0,method12_top100,all,,,
B1_method12_top100_g10,mmlu_accuracy,accuracy,0.02,150,B1,feature_clamp,10.0,method12_top100,all,,,
B1_method12_top100_g10,exp3_reasoning_em,contains_em,0.0,100,B1,feature_clamp,10.0,method12_top100,all,,,
B1_method12_all_g0,structural_token_ratio,ratio,0.05083121938811025,979,B1,feature_clamp,0.0,method12_all,all,,,
B1_method12_all_g0,mmlu_accuracy,accuracy,0.4,150,B1,feature_clamp,0.0,method12_all,all,,,
B1_method12_all_g0,exp3_reasoning_em,contains_em,0.25,100,B1,feature_clamp,0.0,method12_all,all,,,
B1_method3_it_amplified_top100_g0.25,structural_token_ratio,ratio,0.06067281173274918,979,B1,feature_clamp,0.25,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0.25,mmlu_accuracy,accuracy,0.5133333333333333,150,B1,feature_clamp,0.25,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0.25,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.25,method3_it_amplified_top100,all,,,
B1_method12_top10_g5,structural_token_ratio,ratio,0.05334280556656266,979,B1,feature_clamp,5.0,method12_top10,all,,,
B1_method12_top10_g5,mmlu_accuracy,accuracy,0.5333333333333333,150,B1,feature_clamp,5.0,method12_top10,all,,,
B1_method12_top10_g5,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,5.0,method12_top10,all,,,
B1_method12_top50_g10,structural_token_ratio,ratio,0.004599294808671617,979,B1,feature_clamp,10.0,method12_top50,all,,,
B1_method12_top50_g10,mmlu_accuracy,accuracy,0.04,150,B1,feature_clamp,10.0,method12_top50,all,,,
B1_method12_top50_g10,exp3_reasoning_em,contains_em,0.02,100,B1,feature_clamp,10.0,method12_top50,all,,,
B1_method12_top10_g5,reasoning_em,contains_em,0.32,100,B1,feature_clamp,5.0,method12_top10,all,,,
B1_method12_top10_g5,alignment_behavior,behavior_match,0.07,100,B1,feature_clamp,5.0,method12_top10,all,,,
B1_method12_top50_g10,reasoning_em,contains_em,0.02,100,B1,feature_clamp,10.0,method12_top50,all,,,
B1_method12_top50_g10,alignment_behavior,behavior_match,0.18,100,B1,feature_clamp,10.0,method12_top50,all,,,
B1_method12_top500_g0,structural_token_ratio,ratio,0.05096629399080411,979,B1,feature_clamp,0.0,method12_top500,all,,,
B1_method12_top500_g0,mmlu_accuracy,accuracy,0.5466666666666666,150,B1,feature_clamp,0.0,method12_top500,all,,,
B1_method12_top500_g0,exp3_reasoning_em,contains_em,0.24,100,B1,feature_clamp,0.0,method12_top500,all,,,
B1_method12_all_g0.25,structural_token_ratio,ratio,0.053706532563290256,979,B1,feature_clamp,0.25,method12_all,all,,,
B1_method12_all_g0.25,mmlu_accuracy,accuracy,0.44,150,B1,feature_clamp,0.25,method12_all,all,,,
B1_method12_all_g0.25,exp3_reasoning_em,contains_em,0.23,100,B1,feature_clamp,0.25,method12_all,all,,,
B1_method3_it_amplified_top100_g0.5,structural_token_ratio,ratio,0.06108780148725454,979,B1,feature_clamp,0.5,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0.5,mmlu_accuracy,accuracy,0.5,150,B1,feature_clamp,0.5,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g0.5,exp3_reasoning_em,contains_em,0.39,100,B1,feature_clamp,0.5,method3_it_amplified_top100,all,,,
B1_method12_top10_g10,structural_token_ratio,ratio,0.04621307631595741,979,B1,feature_clamp,10.0,method12_top10,all,,,
B1_method12_top10_g10,mmlu_accuracy,accuracy,0.48,150,B1,feature_clamp,10.0,method12_top10,all,,,
B1_method12_top10_g10,exp3_reasoning_em,contains_em,0.39,100,B1,feature_clamp,10.0,method12_top10,all,,,
B1_method12_top100_g0,structural_token_ratio,ratio,0.04908357291753607,979,B1,feature_clamp,0.0,method12_top100,all,,,
B1_method12_top100_g0,mmlu_accuracy,accuracy,0.44666666666666666,150,B1,feature_clamp,0.0,method12_top100,all,,,
B1_method12_top100_g0,exp3_reasoning_em,contains_em,0.33,100,B1,feature_clamp,0.0,method12_top100,all,,,
B1_method12_top10_g10,reasoning_em,contains_em,0.39,100,B1,feature_clamp,10.0,method12_top10,all,,,
B1_method12_top10_g10,alignment_behavior,behavior_match,0.12,100,B1,feature_clamp,10.0,method12_top10,all,,,
B1_method12_top100_g0,reasoning_em,contains_em,0.33,100,B1,feature_clamp,0.0,method12_top100,all,,,
B1_method12_top100_g0,alignment_behavior,behavior_match,0.35,100,B1,feature_clamp,0.0,method12_top100,all,,,
B1_method12_top500_g0.25,structural_token_ratio,ratio,0.04707566988945306,979,B1,feature_clamp,0.25,method12_top500,all,,,
B1_method12_top500_g0.25,mmlu_accuracy,accuracy,0.5,150,B1,feature_clamp,0.25,method12_top500,all,,,
B1_method12_top500_g0.25,exp3_reasoning_em,contains_em,0.26,100,B1,feature_clamp,0.25,method12_top500,all,,,
B1_method12_all_g0.5,structural_token_ratio,ratio,0.053492160505262586,979,B1,feature_clamp,0.5,method12_all,all,,,
B1_method12_all_g0.5,mmlu_accuracy,accuracy,0.42,150,B1,feature_clamp,0.5,method12_all,all,,,
B1_method12_all_g0.5,exp3_reasoning_em,contains_em,0.24,100,B1,feature_clamp,0.5,method12_all,all,,,
B1_method3_it_amplified_top100_g1,structural_token_ratio,ratio,0.05579349917706252,979,B1,feature_clamp,1.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g1,mmlu_accuracy,accuracy,0.5133333333333333,150,B1,feature_clamp,1.0,method3_it_amplified_top100,all,,,
B1_method3_it_amplified_top100_g1,exp3_reasoning_em,contains_em,0.37,100,B1,feature_clamp,1.0,method3_it_amplified_top100,all,,,
B1_baseline,format_compliance,compliance,0.6527777777777778,72,B1,none,,,,,,
B1_method12_top50_g0,format_compliance,compliance,0.5972222222222222,72,B1,feature_clamp,,,,,,
B1_method12_top100_g0.25,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top500_g0.5,format_compliance,compliance,0.5694444444444444,72,B1,feature_clamp,,,,,,
B1_method12_all_g1,format_compliance,compliance,0.5277777777777778,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g2,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top10_g0,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top50_g0.25,format_compliance,compliance,0.5972222222222222,72,B1,feature_clamp,,,,,,
B1_method12_top100_g0.5,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top500_g1,format_compliance,compliance,0.5694444444444444,72,B1,feature_clamp,,,,,,
B1_method12_all_g2,format_compliance,compliance,0.4722222222222222,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g5,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top10_g0.25,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top50_g0.5,format_compliance,compliance,0.6111111111111112,72,B1,feature_clamp,,,,,,
B1_method12_top100_g1,format_compliance,compliance,0.625,72,B1,feature_clamp,,,,,,
B1_method12_top500_g2,format_compliance,compliance,0.5694444444444444,72,B1,feature_clamp,,,,,,
B1_method12_all_g5,format_compliance,compliance,0.3472222222222222,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g10,format_compliance,compliance,0.4583333333333333,72,B1,feature_clamp,,,,,,
B1_method12_top10_g0.5,format_compliance,compliance,0.625,72,B1,feature_clamp,,,,,,
B1_method12_top50_g1,format_compliance,compliance,0.6527777777777778,72,B1,feature_clamp,,,,,,
B1_method12_top100_g2,format_compliance,compliance,0.5972222222222222,72,B1,feature_clamp,,,,,,
B1_method12_top500_g5,format_compliance,compliance,0.3472222222222222,72,B1,feature_clamp,,,,,,
B1_method12_all_g10,format_compliance,compliance,0.3472222222222222,72,B1,feature_clamp,,,,,,
B1_method12_top10_g1,format_compliance,compliance,0.625,72,B1,feature_clamp,,,,,,
B1_method12_top50_g2,format_compliance,compliance,0.6666666666666666,72,B1,feature_clamp,,,,,,
B1_method12_top100_g5,format_compliance,compliance,0.4166666666666667,72,B1,feature_clamp,,,,,,
B1_method12_top500_g10,format_compliance,compliance,0.3472222222222222,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0,format_compliance,compliance,0.6527777777777778,72,B1,feature_clamp,,,,,,
B1_method12_top10_g2,format_compliance,compliance,0.5694444444444444,72,B1,feature_clamp,,,,,,
B1_method12_top50_g5,format_compliance,compliance,0.4861111111111111,72,B1,feature_clamp,,,,,,
B1_method12_top100_g10,format_compliance,compliance,0.3472222222222222,72,B1,feature_clamp,,,,,,
B1_method12_all_g0,format_compliance,compliance,0.4583333333333333,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.25,format_compliance,compliance,0.5833333333333334,72,B1,feature_clamp,,,,,,
B1_method12_top10_g5,format_compliance,compliance,0.5555555555555556,72,B1,feature_clamp,,,,,,
B1_method12_top50_g10,format_compliance,compliance,0.375,72,B1,feature_clamp,,,,,,
B1_method12_top500_g0,format_compliance,compliance,0.5555555555555556,72,B1,feature_clamp,,,,,,
B1_method12_all_g0.25,format_compliance,compliance,0.4861111111111111,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.5,format_compliance,compliance,0.5833333333333334,72,B1,feature_clamp,,,,,,
B1_method12_top10_g10,format_compliance,compliance,0.5972222222222222,72,B1,feature_clamp,,,,,,
B1_method12_top100_g0,format_compliance,compliance,0.6388888888888888,72,B1,feature_clamp,,,,,,
B1_method12_top500_g0.25,format_compliance,compliance,0.5555555555555556,72,B1,feature_clamp,,,,,,
B1_method12_all_g0.5,format_compliance,compliance,0.5138888888888888,72,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g1,format_compliance,compliance,0.5833333333333334,72,B1,feature_clamp,,,,,,
B1_baseline,exp3_alignment_behavior,behavior_match,0.59,100,B1,none,,,,,,
B1_method12_top50_g0,exp3_alignment_behavior,behavior_match,0.63,100,B1,feature_clamp,,,,,,
B1_method12_top100_g0.25,exp3_alignment_behavior,behavior_match,0.8,100,B1,feature_clamp,,,,,,
B1_method12_top500_g0.5,exp3_alignment_behavior,behavior_match,0.77,100,B1,feature_clamp,,,,,,
B1_method12_all_g1,exp3_alignment_behavior,behavior_match,0.67,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g2,exp3_alignment_behavior,behavior_match,0.56,100,B1,feature_clamp,,,,,,
B1_method12_top10_g0,exp3_alignment_behavior,behavior_match,0.58,100,B1,feature_clamp,,,,,,
B1_method12_top50_g0.25,exp3_alignment_behavior,behavior_match,0.6,100,B1,feature_clamp,,,,,,
B1_method12_top100_g0.5,exp3_alignment_behavior,behavior_match,0.81,100,B1,feature_clamp,,,,,,
B1_method12_top500_g1,exp3_alignment_behavior,behavior_match,0.77,100,B1,feature_clamp,,,,,,
B1_method12_all_g2,exp3_alignment_behavior,behavior_match,0.65,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g5,exp3_alignment_behavior,behavior_match,0.58,100,B1,feature_clamp,,,,,,
B1_method12_top10_g0.25,exp3_alignment_behavior,behavior_match,0.58,100,B1,feature_clamp,,,,,,
B1_method12_top50_g0.5,exp3_alignment_behavior,behavior_match,0.62,100,B1,feature_clamp,,,,,,
B1_method12_top100_g1,exp3_alignment_behavior,behavior_match,0.81,100,B1,feature_clamp,,,,,,
B1_method12_top500_g2,exp3_alignment_behavior,behavior_match,0.71,100,B1,feature_clamp,,,,,,
B1_method12_all_g5,exp3_alignment_behavior,behavior_match,0.78,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g10,exp3_alignment_behavior,behavior_match,0.61,100,B1,feature_clamp,,,,,,
B1_method12_top10_g0.5,exp3_alignment_behavior,behavior_match,0.59,100,B1,feature_clamp,,,,,,
B1_method12_top50_g1,exp3_alignment_behavior,behavior_match,0.64,100,B1,feature_clamp,,,,,,
B1_method12_top100_g2,exp3_alignment_behavior,behavior_match,0.8,100,B1,feature_clamp,,,,,,
B1_method12_top500_g5,exp3_alignment_behavior,behavior_match,0.53,100,B1,feature_clamp,,,,,,
B1_method12_all_g10,exp3_alignment_behavior,behavior_match,0.5,100,B1,feature_clamp,,,,,,
B1_method12_top10_g1,exp3_alignment_behavior,behavior_match,0.6,100,B1,feature_clamp,,,,,,
B1_method12_top50_g2,exp3_alignment_behavior,behavior_match,0.65,100,B1,feature_clamp,,,,,,
B1_method12_top100_g5,exp3_alignment_behavior,behavior_match,0.91,100,B1,feature_clamp,,,,,,
B1_method12_top500_g10,exp3_alignment_behavior,behavior_match,0.5,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0,exp3_alignment_behavior,behavior_match,0.62,100,B1,feature_clamp,,,,,,
B1_method12_top10_g2,exp3_alignment_behavior,behavior_match,0.55,100,B1,feature_clamp,,,,,,
B1_method12_top50_g5,exp3_alignment_behavior,behavior_match,0.86,100,B1,feature_clamp,,,,,,
B1_method12_top100_g10,exp3_alignment_behavior,behavior_match,0.54,100,B1,feature_clamp,,,,,,
B1_method12_all_g0,exp3_alignment_behavior,behavior_match,0.65,100,B1,feature_clamp,,,,,,
B1_method3_it_amplified_top100_g0.25,exp3_alignment_behavior,behavior_match,0.6,100,B1,feature_clamp,,,,,,
B1_method12_top10_g5,exp3_alignment_behavior,behavior_match,0.54,100,B1,feature_clamp,,,,,,
